row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,postal_code,region,category,sub_category,product_id,product_name,quantity,discount,unit_price,sales,profit
669,ORD-01223,2021-02-21,2021-02-21,Same Day,CUS-0293,Customer 293,Consumer,Washington,DC,20001,East,Office Supplies,Labels,PRD-9649,Address Labels 750pk,1,0.1,13.0,11.7,3.05
1364,ORD-01454,2022-10-29,2022-11-02,Second Class,CUS-0005,Customer 5,Consumer,New York,NY,10001,East,Office Supplies,Fasteners,PRD-3891,Binder Clips Assorted,1,0,8.63,8.63,1.9
1295,ORD-01431,2023-07-02,2023-07-06,Second Class,CUS-0015,Customer 15,Home Office,Philadelphia,PA,19101,East,Office Supplies,Envelopes,PRD-8641,Padded Mailer 25pk,1,0.2,16.94,13.55,1.37
1921,ORD-01640,2022-05-25,2022-05-25,Same Day,CUS-0006,Customer 6,Corporate,Minneapolis,MN,55401,Central,Office Supplies,Labels,PRD-3171,Color Coding Labels,4,0.1,7.42,26.71,6.13
40,ORD-01013,2022-09-20,2022-09-27,Standard Class,CUS-0152,Customer 152,Consumer,Chicago,IL,60601,Central,Technology,Machines,PRD-7964,Lenovo ThinkPad E15,3,0.1,910.27,2457.73,420.73
1037,ORD-01345,2023-05-22,2023-05-25,Second Class,CUS-0054,Customer 54,Corporate,Boston,MA,02101,East,Technology,Phones,PRD-4957,iPhone 14 128GB,1,0,783.11,783.11,113.64
2203,ORD-01734,2021-05-23,2021-05-28,Standard Class,CUS-0319,Customer 319,Consumer,Portland,OR,97201,West,Technology,Phones,PRD-4868,Oppo Reno 8,6,0,259.14,1554.84,246.14
1176,ORD-01392,2022-07-20,2022-07-27,Standard Class,CUS-0116,Customer 116,Home Office,Charlotte,NC,28201,South,Technology,Accessories,PRD-7137,USB Hub 7-Port,2,0.1,34.6,62.28,19.73
366,ORD-01122,2023-06-16,2023-06-23,Standard Class,CUS-0249,Customer 249,Consumer,San Francisco,CA,94101,West,Technology,Accessories,PRD-3294,Webcam HD 1080p,2,0.4,53.06,63.67,-2.69
2025,ORD-01675,2023-11-02,2023-11-09,Standard Class,CUS-0252,Customer 252,Corporate,Boston,MA,02101,East,Office Supplies,Storage,PRD-5940,Plastic Storage Bin Set,2,0.1,34.81,62.66,13.4
1234,ORD-01411,2021-08-17,2021-08-20,Second Class,CUS-0030,Customer 30,Home Office,Philadelphia,PA,19101,East,Furniture,Chairs,PRD-4686,Ergonomic Mesh Chair,1,0,229.86,229.86,31.88
2254,ORD-01751,2021-10-28,2021-11-02,Standard Class,CUS-0247,Customer 247,Home Office,Minneapolis,MN,55401,Central,Technology,Machines,PRD-1881,HP ProBook 440 G9,4,0,749.39,2997.56,391.47
1441,ORD-01480,2022-06-01,2022-06-02,First Class,CUS-0145,Customer 145,Corporate,Las Vegas,NV,89101,West,Furniture,Chairs,PRD-4686,Ergonomic Mesh Chair,1,0.3,240.18,168.13,13.67
1272,ORD-01424,2023-03-15,2023-03-21,Standard Class,CUS-0255,Customer 255,Corporate,Miami,FL,33101,East,Technology,Machines,PRD-1881,HP ProBook 440 G9,2,0,814.9,1629.8,172.76
997,ORD-01332,2022-05-09,2022-05-16,Standard Class,CUS-0355,Customer 355,Consumer,Minneapolis,MN,55401,Central,Technology,Copiers,PRD-3378,Brother MFC-L2750DW,4,0.5,310.35,620.7,18.87
301,ORD-01100,2021-05-09,2021-05-14,Standard Class,CUS-0119,Customer 119,Consumer,Chicago,IL,60601,Central,Technology,Accessories,PRD-3294,Webcam HD 1080p,4,0,53.77,215.08,54.8
955,ORD-01318,2023-08-25,2023-08-27,Second Class,CUS-0193,Customer 193,Home Office,Los Angeles,CA,90001,West,Furniture,Bookcases,PRD-4464,5-Tier Metal Bookshelf,2,0.4,140.34,168.41,3.44
1017,ORD-01339,2022-04-26,2022-04-29,Second Class,CUS-0195,Customer 195,Consumer,Chicago,IL,60601,Central,Furniture,Tables,PRD-5524,Folding Table Portable,4,0.5,90.79,181.58,0.43
581,ORD-01193,2023-02-12,2023-02-13,First Class,CUS-0202,Customer 202,Consumer,New Orleans,LA,70101,South,Technology,Phones,PRD-4957,iPhone 14 128GB,6,0,843.47,5060.82,684.36
1752,ORD-01584,2023-05-10,2023-05-14,Standard Class,CUS-0061,Customer 61,Consumer,Las Vegas,NV,89101,West,Technology,Copiers,PRD-4662,Epson WorkForce WF-7840,4,0.2,448.68,1435.78,448.13
2140,ORD-01713,2021-11-13,2021-11-17,Second Class,CUS-0194,Customer 194,Home Office,Washington,DC,20001,East,Furniture,Tables,PRD-5524,Folding Table Portable,3,0.2,89.28,214.27,5.89
423,ORD-01141,2022-09-23,2022-09-29,Standard Class,CUS-0035,Customer 35,Home Office,Miami,FL,33101,East,Office Supplies,Storage,PRD-7580,File Cabinet 4-Drawer,1,0.4,178.83,107.3,-8.82
990,ORD-01330,2021-04-02,2021-04-05,Second Class,CUS-0277,Customer 277,Corporate,Los Angeles,CA,90001,West,Technology,Machines,PRD-7823,Dell XPS 15 Laptop,1,0.1,1453.2,1307.88,253.24
1389,ORD-01463,2021-04-16,2021-04-21,Standard Class,CUS-0078,Customer 78,Corporate,Philadelphia,PA,19101,East,Technology,Copiers,PRD-4662,Epson WorkForce WF-7840,4,0.1,435.01,1566.04,447.49
1035,ORD-01345,2022-11-23,2022-11-30,Standard Class,CUS-0160,Customer 160,Home Office,Detroit,MI,48201,Central,Office Supplies,Art,PRD-1820,Sketch Pad A3,2,0.2,16.95,27.12,4.69
244,ORD-01081,2021-07-26,2021-07-29,Second Class,CUS-0216,Customer 216,Consumer,San Francisco,CA,94101,West,Furniture,Tables,PRD-1817,L-Shape Office Desk,1,0.4,405.13,243.08,-7.21
384,ORD-01128,2023-10-26,2023-11-02,Standard Class,CUS-0168,Customer 168,Consumer,Portland,OR,97201,West,Office Supplies,Envelopes,PRD-4017,Security Envelope 100pk,1,0.2,14.21,11.37,1.46
2185,ORD-01728,2021-12-10,2021-12-12,Second Class,CUS-0081,Customer 81,Consumer,Miami,FL,33101,East,Technology,Machines,PRD-7823,Dell XPS 15 Laptop,2,0,1396.32,2792.64,313.69
1575,ORD-01525,2022-08-17,2022-08-21,Standard Class,CUS-0202,Customer 202,Consumer,New Orleans,LA,70101,South,Furniture,Bookcases,PRD-5773,Wooden Bookcase 180cm,5,0.2,198.03,792.12,-22.98
1266,ORD-01422,2022-05-09,2022-05-15,Standard Class,CUS-0177,Customer 177,Home Office,Memphis,TN,38101,South,Technology,Accessories,PRD-8988,Logitech MX Master 3,2,0,81.2,162.4,35.85
400,ORD-01133,2021-10-25,2021-10-30,Standard Class,CUS-0221,Customer 221,Consumer,Dallas,TX,75201,Central,Technology,Phones,PRD-4957,iPhone 14 128GB,4,0,751.55,3006.2,658.23
1219,ORD-01406,2021-12-22,2021-12-26,Second Class,CUS-0158,Customer 158,Corporate,Minneapolis,MN,55401,Central,Technology,Copiers,PRD-4662,Epson WorkForce WF-7840,5,0,393.81,1969.05,564.85
1759,ORD-01586,2022-05-07,2022-05-11,Second Class,CUS-0076,Customer 76,Home Office,Houston,TX,77001,Central,Technology,Machines,PRD-7964,Lenovo ThinkPad E15,2,0,868.59,1737.18,235.3
568,ORD-01189,2021-12-27,2022-01-03,Standard Class,CUS-0143,Customer 143,Consumer,Portland,OR,97201,West,Office Supplies,Storage,PRD-6625,Banker Box 10-Pack,1,0,43.33,43.33,9.1
1793,ORD-01597,2021-12-23,2021-12-26,Second Class,CUS-0038,Customer 38,Corporate,Boston,MA,02101,East,Technology,Copiers,PRD-5522,Canon ImageRUNNER 2425,3,0.5,1693.67,2540.51,-73.42
775,ORD-01258,2021-07-13,2021-07-15,Second Class,CUS-0141,Customer 141,Consumer,Las Vegas,NV,89101,West,Furniture,Furnishings,PRD-8417,Cable Management Kit,1,0,28.4,28.4,5.6
2302,ORD-01767,2022-11-19,2022-11-25,Standard Class,CUS-0131,Customer 131,Consumer,Portland,OR,97201,West,Technology,Accessories,PRD-3294,Webcam HD 1080p,1,0.1,51.54,46.39,11.67
1836,ORD-01612,2023-06-22,2023-06-29,Standard Class,CUS-0117,Customer 117,Home Office,Seattle,WA,98101,West,Furniture,Bookcases,PRD-5344,Wall-Mount Floating Shelves,1,0,69.84,69.84,-0.14
1028,ORD-01342,2023-04-01,2023-04-07,Standard Class,CUS-0336,Customer 336,Corporate,New York,NY,10001,East,Office Supplies,Storage,PRD-6625,Banker Box 10-Pack,3,0.2,45.04,108.1,22.93
393,ORD-01131,2021-04-19,2021-04-23,Standard Class,CUS-0139,Customer 139,Corporate,Memphis,TN,38101,South,Technology,Copiers,PRD-3378,Brother MFC-L2750DW,2,0,331.83,663.66,140.8
1902,ORD-01634,2022-09-07,2022-09-11,Second Class,CUS-0183,Customer 183,Consumer,New Orleans,LA,70101,South,Furniture,Bookcases,PRD-5773,Wooden Bookcase 180cm,2,0,208.55,417.1,30.42
